ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SBIL,BA0004,BAHIA - JORGE AMADO,ILHÉUS,BA,14° 48' 54'' S,39° 2' 0'' W,4,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,1577,45,PCN 35/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBIP,MG0007,USIMINAS,SANTANA DO PARAÍSO,MG,19° 28' 14'' S,42° 29' 17'' W,239,VFR Diurno e IFR Diurno/Noturno, 05/23,2005,45,PCN 33/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBIZ,MA0002,PREFEITO RENATO MOREIRA,IMPERATRIZ,MA,5° 31' 50'' S,47° 27' 30'' W,131,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,1798,45,PCN 50/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJC,PA0005,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BELÉM,PA,1° 24' 54'' S,48° 27' 32'' W,16,VFR Diurno, 16/34,1106,30,PCN 34/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJD,SP0031,COMANDANTE ROLIM ADOLFO AMARO,JUNDIAÍ,SP,23° 10' 54'' S,46° 56' 37'' W,757,VFR Diurno/Noturno, 18/36,1400,30,PCN 21/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJF,MG0016,FRANCISCO DE ASSIS,JUIZ DE FORA,MG,21° 47' 35'' S,43° 23' 8'' W,911,VFR Diurno/Noturno e IFR Diurno/Noturno, 02/20,1535,30,PCN 8/F/A/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJI,RO0005,JI-PARANÁ,JI-PARANÁ,RO,10° 52' 14'' S,61° 50' 48'' W,182,VFR Diurno/Noturno, 03/21,1800,45,PCN 30/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJP,PB0001,PRESIDENTE CASTRO PINTO,JOÃO PESSOA,PB,7° 8' 54'' S,34° 57' 1'' W,66,VFR Diurno/Noturno e IFR Diurno/Noturno, 16/34,2515,45,PCN 52/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJR,RJ0005,JACAREPAGUÁ/RJ - Roberto Marinho,RIO DE JANEIRO,RJ,22° 59' 15'' S,43° 22' 12'' W,3,VFR Diurno/Noturno, 03/21,900,30,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJU,CE0002,ORLANDO BEZERRA DE MENEZES,JUAZEIRO DO NORTE,CE,7° 13' 9'' S,39° 16' 10'' W,409,VFR Diurno/Noturno e IFR Diurno/Noturno, 13/31,1940,45,PCN 45/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBJV,SC0004,LAURO CARNEIRO DE LOYOLA,JOINVILLE,SC,26° 13' 23'' S,48° 47' 52'' W,5,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,1540,45,PCN 51/F/A/W/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBKG,PB0003,PRESIDENTE JOÃO SUASSUNA,CAMPINA GRANDE,PB,7° 16' 9'' S,35° 53' 42'' W,502,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,1600,42,PCN 50/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBKP,SP0003,VIRACOPOS,CAMPINAS,SP,23° 0' 25'' S,47° 8' 4'' W,661,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,3240,45,PCN 56/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBLE,BA0006,HORÁCIO DE MATTOS,LENÇÓIS,BA,12° 28' 56'' S,41° 16' 37'' W,506,VFR Diurno/Noturno, 14/32,2082,30,PCN 44/R/A/W/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBLJ,SC0007,LAGES,LAGES,SC,27° 46' 56'' S,50° 16' 54'' W,934,VFR Diurno/Noturno e IFR Diurno/Noturno, 17/35,1532,30,PCN 17/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBLO,PR0003,GOVERNADOR JOSÉ RICHA,LONDRINA,PR,23° 19' 49'' S,51° 8' 12'' W,569,VFR Diurno/Noturno e IFR Diurno/Noturno, 13/31,2100,45,PCN 43/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBLP,BA0037,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,13° 15' 41'' S,43° 24' 27'' W,443,VFR Diurno/Noturno e IFR Diurno, 18/36,1211,30,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMA,PA0004,JOÃO CORREA DA ROCHA,MARABÁ,PA,5° 22' 5'' S,49° 8' 17'' W,109,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,2000,45,PCN 40/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMD,PA0009,MONTE DOURADO,ALMEIRIM,PA,0° 53' 23'' S,52° 36' 8'' W,206,VFR Diurno/Noturno e IFR Diurno/Noturno, 08/26,1800,30,PCN 25/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBME,RJ0004,MACAÉ,MACAÉ,RJ,22° 20' 34'' S,41° 45' 50'' W,2,VFR Diurno/Noturno e IFR Diurno/Noturno, 06/24,1200,30,PCN 19/F/C/W/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMG,PR0004,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,23° 28' 46'' S,52° 0' 44'' W,545,VFR Diurno/Noturno e IFR Diurno/Noturno, 10/28,2100,45,PCN 41/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMK,MG0004,MÁRIO RIBEIRO,MONTES CLAROS,MG,16° 42' 22'' S,43° 49' 19'' W,668,VFR Diurno/Noturno e IFR Diurno/Noturno, 12/30,2100,45,PCN 34/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
